,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter79_cv_split1,0.6966292134831461,0.6966292134831461,0.9914040114613181,0.6991404011461319,0,4,0,1,58,3,0,19,4,14,0,0,0,243,1,0,2,89
iter79_cv_split2,0.7159090909090909,0.6931818181818182,0.9914285714285714,0.7,0,4,0,0,52,9,0,12,11,14,0,0,0,244,1,0,2,89
iter79_cv_split3,0.5909090909090909,0.6931818181818182,0.9914285714285714,0.7,0,3,1,1,46,14,0,17,6,14,0,0,0,244,1,0,2,89
iter79_cv_split4,0.6436781609195402,0.7011494252873564,0.9943019943019943,0.698005698005698,0,3,0,0,50,11,0,17,6,15,0,0,0,244,1,0,1,90
iter79_cv_split5,0.627906976744186,0.7093023255813954,0.9914772727272727,0.6960227272727273,0,2,1,0,49,12,0,17,5,15,0,0,0,243,2,0,1,91
iter80_cv_split1,0.6853932584269663,0.6966292134831461,0.9885386819484241,0.6991404011461319,0,3,1,1,53,8,0,15,8,14,0,0,0,242,2,0,2,89
iter80_cv_split2,0.6931818181818182,0.6931818181818182,0.9914285714285714,0.7,0,2,2,0,53,8,0,15,8,14,0,0,0,244,1,0,2,89
iter80_cv_split3,0.6931818181818182,0.6931818181818182,0.9971428571428571,0.7,0,4,0,1,54,6,0,16,7,14,0,0,0,244,1,0,0,91
iter80_cv_split4,0.6206896551724138,0.7011494252873564,0.9914529914529915,0.698005698005698,0,3,0,0,44,17,0,13,10,15,0,0,0,244,1,0,2,89
iter80_cv_split5,0.6976744186046512,0.7093023255813954,0.9943181818181818,0.6960227272727273,0,3,0,0,51,10,0,13,9,15,0,0,0,245,0,0,2,90
iter81_cv_split1,0.6853932584269663,0.6966292134831461,0.9914040114613181,0.6991404011461319,0,4,0,1,53,8,0,15,8,14,0,0,0,243,1,0,2,89
iter81_cv_split2,0.6477272727272727,0.6931818181818182,0.9914285714285714,0.7,0,3,1,1,49,11,0,15,8,14,0,0,0,244,1,0,2,89
iter81_cv_split3,0.5568181818181818,0.6931818181818182,0.9971428571428571,0.7,0,3,1,0,43,18,0,17,6,14,0,0,0,245,0,0,1,90
iter81_cv_split4,0.632183908045977,0.7011494252873564,0.9943019943019943,0.698005698005698,0,2,1,0,51,10,0,19,4,15,0,0,0,244,1,0,1,90
iter81_cv_split5,0.7325581395348837,0.7093023255813954,0.9914772727272727,0.6960227272727273,0,3,0,0,54,7,0,13,9,15,0,0,0,244,1,0,2,90
iter82_cv_split1,0.7415730337078652,0.6966292134831461,0.9885386819484241,0.6991404011461319,0,4,0,0,57,5,0,14,9,14,0,0,0,242,2,0,2,89
iter82_cv_split2,0.6704545454545454,0.6931818181818182,0.9914285714285714,0.7,0,4,0,0,49,12,0,13,10,14,0,0,0,243,2,0,1,90
iter82_cv_split3,0.5909090909090909,0.6931818181818182,0.9942857142857143,0.7,0,4,0,1,49,11,0,20,3,14,0,0,0,244,1,0,1,90
iter82_cv_split4,0.6666666666666666,0.7011494252873564,0.9943019943019943,0.698005698005698,0,3,0,0,50,11,0,15,8,15,0,0,0,245,0,0,2,89
iter82_cv_split5,0.6976744186046512,0.7093023255813954,0.9943181818181818,0.6960227272727273,0,1,2,0,50,11,0,12,10,15,0,0,0,245,0,0,2,90
iter83_cv_split1,0.6629213483146067,0.6966292134831461,0.9885386819484241,0.6991404011461319,0,3,1,0,51,11,0,15,8,14,0,0,0,242,2,0,2,89
iter83_cv_split2,0.6704545454545454,0.6931818181818182,0.9914285714285714,0.7,0,4,0,0,55,6,0,19,4,14,0,0,0,243,2,0,1,90
iter83_cv_split3,0.6590909090909091,0.6931818181818182,0.9971428571428571,0.7,0,2,2,0,50,11,0,15,8,14,0,0,0,245,0,0,1,90
iter83_cv_split4,0.6436781609195402,0.7011494252873564,0.9914529914529915,0.698005698005698,0,2,1,0,48,13,0,15,8,15,0,0,0,244,1,0,2,89
iter83_cv_split5,0.6744186046511628,0.7093023255813954,0.9914772727272727,0.6960227272727273,0,3,0,1,51,9,0,15,7,15,0,0,0,244,1,0,2,90
iter84_cv_split1,0.651685393258427,0.6966292134831461,0.9914040114613181,0.6991404011461319,0,4,0,1,53,8,0,18,5,14,0,0,0,243,1,0,2,89
iter84_cv_split2,0.7386363636363636,0.6931818181818182,0.9971428571428571,0.7,0,3,1,0,52,9,0,10,13,14,0,0,0,245,0,0,1,90
iter84_cv_split3,0.6136363636363636,0.6931818181818182,0.9914285714285714,0.7,0,3,1,0,49,12,0,18,5,14,0,0,0,244,1,0,2,89
iter84_cv_split4,0.6666666666666666,0.7011494252873564,0.9943019943019943,0.698005698005698,0,2,1,0,55,6,0,20,3,15,0,0,0,244,1,0,1,90
iter84_cv_split5,0.6627906976744186,0.7093023255813954,0.9914772727272727,0.6960227272727273,0,3,0,1,47,13,0,12,10,15,0,0,0,244,1,0,2,90
iter85_cv_split1,0.7191011235955056,0.6966292134831461,0.994269340974212,0.6991404011461319,0,3,1,0,54,8,0,13,10,14,0,0,0,244,0,0,2,89
iter85_cv_split2,0.6363636363636364,0.6931818181818182,0.9942857142857143,0.7,0,3,1,0,49,12,0,16,7,14,0,0,0,245,0,0,2,89
iter85_cv_split3,0.625,0.6931818181818182,0.9885714285714285,0.7,0,3,1,1,49,11,0,17,6,14,0,0,0,243,2,0,2,89
iter85_cv_split4,0.7011494252873564,0.7011494252873564,0.9943019943019943,0.698005698005698,0,3,0,0,52,9,0,14,9,15,0,0,0,244,1,0,1,90
iter85_cv_split5,0.6511627906976745,0.7093023255813954,0.9943181818181818,0.6960227272727273,0,3,0,1,46,14,0,12,10,15,0,0,0,244,1,0,1,91
iter86_cv_split1,0.6629213483146067,0.6966292134831461,0.997134670487106,0.6991404011461319,0,4,0,0,49,13,0,13,10,14,0,0,0,243,1,0,0,91
iter86_cv_split2,0.6818181818181818,0.6931818181818182,0.9914285714285714,0.7,0,3,1,0,48,13,0,11,12,14,0,0,0,244,1,0,2,89
iter86_cv_split3,0.6363636363636364,0.6931818181818182,0.9914285714285714,0.7,0,4,0,0,51,10,0,18,5,14,0,0,0,244,1,0,2,89
iter86_cv_split4,0.7241379310344828,0.7011494252873564,0.9914529914529915,0.698005698005698,0,1,2,0,56,5,0,16,7,15,0,0,0,244,1,0,2,89
iter86_cv_split5,0.7093023255813954,0.7093023255813954,0.9914772727272727,0.6960227272727273,0,3,0,1,54,6,0,15,7,15,0,0,0,244,1,0,2,90
iter87_cv_split1,0.6067415730337079,0.6966292134831461,0.9914040114613181,0.6991404011461319,0,3,1,0,49,13,0,18,5,14,0,0,0,243,1,0,2,89
iter87_cv_split2,0.7272727272727273,0.6931818181818182,0.9971428571428571,0.7,0,4,0,0,55,6,0,14,9,14,0,0,0,244,1,0,0,91
iter87_cv_split3,0.6704545454545454,0.6931818181818182,0.9914285714285714,0.7,0,4,0,0,50,11,0,14,9,14,0,0,0,244,1,0,2,89
iter87_cv_split4,0.5977011494252874,0.7011494252873564,0.9914529914529915,0.698005698005698,0,2,1,2,45,14,0,16,7,15,0,0,0,244,1,0,2,89
iter87_cv_split5,0.686046511627907,0.7093023255813954,0.9943181818181818,0.6960227272727273,0,3,0,1,50,10,0,13,9,15,0,0,0,245,0,0,2,90
iter88_cv_split1,0.6179775280898876,0.6966292134831461,0.9914040114613181,0.6991404011461319,0,3,1,1,48,13,0,16,7,14,0,0,0,243,1,0,2,89
iter88_cv_split2,0.6704545454545454,0.6931818181818182,0.9914285714285714,0.7,0,4,0,0,51,10,0,15,8,14,0,0,0,244,1,0,2,89
iter88_cv_split3,0.6363636363636364,0.6931818181818182,0.9942857142857143,0.7,0,3,1,0,51,10,0,18,5,14,0,0,0,245,0,0,2,89
iter88_cv_split4,0.6666666666666666,0.7011494252873564,0.9943019943019943,0.698005698005698,0,3,0,1,50,10,0,15,8,15,0,0,0,244,1,0,1,90
iter88_cv_split5,0.686046511627907,0.7093023255813954,0.9971590909090909,0.6960227272727273,0,3,0,1,51,9,0,14,8,15,0,0,0,245,0,0,1,91
iter89_cv_split1,0.6966292134831461,0.6966292134831461,0.994269340974212,0.6991404011461319,0,4,0,0,50,12,0,11,12,14,0,0,0,244,0,0,2,89
iter89_cv_split2,0.6818181818181818,0.6931818181818182,0.9885714285714285,0.7,0,3,1,0,53,8,0,16,7,14,0,0,0,243,2,0,2,89
iter89_cv_split3,0.6590909090909091,0.6931818181818182,0.9942857142857143,0.7,0,4,0,0,53,8,0,18,5,14,0,0,0,244,1,0,1,90
iter89_cv_split4,0.6781609195402298,0.7011494252873564,0.9943019943019943,0.698005698005698,0,3,0,0,51,10,0,15,8,15,0,0,0,245,0,0,2,89
iter89_cv_split5,0.6744186046511628,0.7093023255813954,0.9943181818181818,0.6960227272727273,0,3,0,0,52,9,0,16,6,15,0,0,0,244,1,0,1,91
iter90_cv_split1,0.6404494382022472,0.6966292134831461,0.997134670487106,0.6991404011461319,0,4,0,0,53,9,0,19,4,14,0,0,0,244,0,0,1,90
iter90_cv_split2,0.6363636363636364,0.6931818181818182,0.9914285714285714,0.7,0,4,0,1,49,11,0,16,7,14,0,0,0,244,1,0,2,89
iter90_cv_split3,0.7045454545454546,0.6931818181818182,0.9914285714285714,0.7,0,4,0,0,53,8,0,14,9,14,0,0,0,244,1,0,2,89
iter90_cv_split4,0.7126436781609196,0.7011494252873564,0.9971509971509972,0.698005698005698,0,3,0,0,55,6,0,16,7,15,0,0,0,245,0,0,1,90
iter90_cv_split5,0.7441860465116279,0.7093023255813954,0.9886363636363636,0.6960227272727273,0,2,1,0,52,9,0,10,12,15,0,0,0,243,2,0,2,90
iter91_cv_split1,0.7078651685393258,0.6966292134831461,0.997134670487106,0.6991404011461319,0,3,1,0,57,5,0,17,6,14,0,0,0,244,0,0,1,90
iter91_cv_split2,0.6931818181818182,0.6931818181818182,0.9914285714285714,0.7,0,4,0,0,53,8,0,15,8,14,0,0,0,244,1,0,2,89
iter91_cv_split3,0.6136363636363636,0.6931818181818182,0.9914285714285714,0.7,0,3,1,1,49,11,0,18,5,14,0,0,0,244,1,0,2,89
iter91_cv_split4,0.6896551724137931,0.7011494252873564,0.9943019943019943,0.698005698005698,0,3,0,0,51,10,0,14,9,15,0,0,0,244,1,0,1,90
iter91_cv_split5,0.6511627906976745,0.7093023255813954,0.9943181818181818,0.6960227272727273,0,2,1,0,50,11,0,16,6,15,0,0,0,245,0,0,2,90
iter92_cv_split1,0.5842696629213483,0.6966292134831461,0.9914040114613181,0.6991404011461319,0,2,2,2,48,12,0,19,4,14,0,0,0,242,2,0,1,90
iter92_cv_split2,0.6590909090909091,0.6931818181818182,0.9914285714285714,0.7,0,2,2,0,49,12,0,14,9,14,0,0,0,244,1,0,2,89
iter92_cv_split3,0.6704545454545454,0.6931818181818182,0.9914285714285714,0.7,0,4,0,0,49,12,0,13,10,14,0,0,0,244,1,0,2,89
iter92_cv_split4,0.632183908045977,0.7011494252873564,0.9943019943019943,0.698005698005698,0,3,0,0,49,12,0,17,6,15,0,0,0,245,0,0,2,89
iter92_cv_split5,0.7093023255813954,0.7093023255813954,0.9943181818181818,0.6960227272727273,0,3,0,0,55,6,0,16,6,15,0,0,0,244,1,0,1,91
iter93_cv_split1,0.6292134831460674,0.6966292134831461,0.9914040114613181,0.6991404011461319,0,4,0,0,47,15,0,14,9,14,0,0,0,243,1,0,2,89
iter93_cv_split2,0.5227272727272727,0.6931818181818182,0.9971428571428571,0.7,0,4,0,0,43,18,0,20,3,14,0,0,0,245,0,0,1,90
iter93_cv_split3,0.6363636363636364,0.6931818181818182,0.9914285714285714,0.7,0,4,0,1,47,13,0,14,9,14,0,0,0,243,2,0,1,90
iter93_cv_split4,0.6896551724137931,0.7011494252873564,0.9914529914529915,0.698005698005698,0,2,1,0,57,4,0,20,3,15,0,0,0,244,1,0,2,89
iter93_cv_split5,0.6744186046511628,0.7093023255813954,0.9914772727272727,0.6960227272727273,0,3,0,1,49,11,0,13,9,15,0,0,0,244,1,0,2,90
iter94_cv_split1,0.7078651685393258,0.6966292134831461,0.994269340974212,0.6991404011461319,0,4,0,0,53,9,0,13,10,14,0,0,0,244,0,0,2,89
iter94_cv_split2,0.7045454545454546,0.6931818181818182,0.9885714285714285,0.7,0,4,0,0,52,9,0,13,10,14,0,0,0,243,2,0,2,89
iter94_cv_split3,0.6477272727272727,0.6931818181818182,0.9885714285714285,0.7,0,4,0,0,49,12,0,15,8,14,0,0,0,243,2,0,2,89
iter94_cv_split4,0.6781609195402298,0.7011494252873564,0.9943019943019943,0.698005698005698,0,3,0,0,51,10,0,15,8,15,0,0,0,244,1,0,1,90
iter94_cv_split5,0.627906976744186,0.7093023255813954,0.9943181818181818,0.6960227272727273,0,2,1,1,50,10,0,18,4,15,0,0,0,244,1,0,1,91
iter95_cv_split1,0.651685393258427,0.6966292134831461,0.9914040114613181,0.6991404011461319,0,3,1,1,51,10,0,16,7,14,0,0,0,243,1,0,2,89
iter95_cv_split2,0.6590909090909091,0.6931818181818182,1.0,0.7,0,4,0,0,53,8,0,18,5,14,0,0,0,245,0,0,0,91
iter95_cv_split3,0.625,0.6931818181818182,0.9914285714285714,0.7,0,4,0,0,44,17,0,12,11,14,0,0,0,244,1,0,2,89
iter95_cv_split4,0.5862068965517241,0.7011494252873564,0.9943019943019943,0.698005698005698,0,3,0,0,43,18,0,15,8,15,0,0,0,245,0,0,2,89
iter95_cv_split5,0.7093023255813954,0.7093023255813954,0.9914772727272727,0.6960227272727273,0,2,1,0,53,8,0,14,8,15,0,0,0,244,1,0,2,90
iter96_cv_split1,0.6966292134831461,0.6966292134831461,0.9914040114613181,0.6991404011461319,0,3,1,1,52,9,0,13,10,14,0,0,0,243,1,0,2,89
iter96_cv_split2,0.6818181818181818,0.6931818181818182,0.9942857142857143,0.7,1,3,0,0,52,9,0,16,7,14,0,0,0,244,1,0,1,90
iter96_cv_split3,0.6704545454545454,0.6931818181818182,0.9971428571428571,0.7,0,4,0,1,54,6,0,18,5,14,0,0,0,245,0,0,1,90
iter96_cv_split4,0.6666666666666666,0.7011494252873564,0.9914529914529915,0.698005698005698,0,2,1,1,51,9,0,16,7,15,0,0,0,244,1,0,2,89
iter96_cv_split5,0.6511627906976745,0.7093023255813954,0.9886363636363636,0.6960227272727273,0,2,1,0,46,15,0,12,10,15,0,0,0,243,2,0,2,90
iter97_cv_split1,0.6292134831460674,0.6966292134831461,0.9914040114613181,0.6991404011461319,0,3,1,0,50,12,0,17,6,14,0,0,0,243,1,0,2,89
iter97_cv_split2,0.6590909090909091,0.6931818181818182,0.9942857142857143,0.7,0,3,1,0,49,12,0,14,9,14,0,0,0,243,2,0,0,91
iter97_cv_split3,0.6590909090909091,0.6931818181818182,0.9914285714285714,0.7,0,4,0,1,49,11,0,14,9,14,0,0,0,244,1,0,2,89
iter97_cv_split4,0.6666666666666666,0.7011494252873564,0.9914529914529915,0.698005698005698,0,3,0,0,52,9,0,17,6,15,0,0,0,244,1,0,2,89
iter97_cv_split5,0.686046511627907,0.7093023255813954,0.9914772727272727,0.6960227272727273,0,3,0,0,54,7,0,17,5,15,0,0,0,244,1,0,2,90
iter98_cv_split1,0.6853932584269663,0.6966292134831461,0.9914040114613181,0.6991404011461319,0,2,2,0,51,11,0,13,10,14,0,0,0,243,1,0,2,89
iter98_cv_split2,0.6931818181818182,0.6931818181818182,0.9971428571428571,0.7,0,4,0,0,55,6,0,17,6,14,0,0,0,245,0,0,1,90
iter98_cv_split3,0.6136363636363636,0.6931818181818182,0.9942857142857143,0.7,0,4,0,0,45,16,0,14,9,14,0,0,0,244,1,0,1,90
iter98_cv_split4,0.5977011494252874,0.7011494252873564,0.9943019943019943,0.698005698005698,0,2,1,1,49,11,0,20,3,15,0,0,0,245,0,0,2,89
iter98_cv_split5,0.6744186046511628,0.7093023255813954,0.9886363636363636,0.6960227272727273,0,3,0,0,54,7,0,18,4,15,0,0,0,243,2,0,2,90
iter99_cv_split1,0.651685393258427,0.6966292134831461,0.9914040114613181,0.6991404011461319,0,4,0,1,52,9,0,17,6,14,0,0,0,243,1,0,2,89
iter99_cv_split2,0.625,0.6931818181818182,0.9914285714285714,0.7,0,3,1,0,49,12,0,17,6,14,0,0,0,244,1,0,2,89
iter99_cv_split3,0.6477272727272727,0.6931818181818182,0.9914285714285714,0.7,0,4,0,2,47,12,0,13,10,14,0,0,0,244,1,0,2,89
iter99_cv_split4,0.6896551724137931,0.7011494252873564,0.9971509971509972,0.698005698005698,0,3,0,0,52,9,0,15,8,15,0,0,0,245,0,0,1,90
iter99_cv_split5,0.6744186046511628,0.7093023255813954,0.9943181818181818,0.6960227272727273,0,2,1,0,52,9,0,16,6,15,0,0,0,244,1,0,1,91
iter100_cv_split1,0.6853932584269663,0.6966292134831461,0.994269340974212,0.6991404011461319,0,4,0,0,52,10,0,14,9,14,0,0,0,244,0,0,2,89
iter100_cv_split2,0.6704545454545454,0.6931818181818182,0.9942857142857143,0.7,0,3,1,1,51,9,0,15,8,14,0,0,0,245,0,0,2,89
iter100_cv_split3,0.6931818181818182,0.6931818181818182,0.9942857142857143,0.7,0,3,1,0,55,6,0,17,6,14,0,0,0,244,1,0,1,90
iter100_cv_split4,0.6551724137931034,0.7011494252873564,0.9914529914529915,0.698005698005698,0,1,2,0,49,12,0,15,8,15,0,0,0,244,1,0,2,89
iter100_cv_split5,0.6046511627906976,0.7093023255813954,0.9943181818181818,0.6960227272727273,0,3,0,1,46,14,0,16,6,15,0,0,0,244,1,0,1,91
