,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter92_cv_split2,0.6818181818181818,0.6931818181818182,0.94,0.7,0,3,1,0,53,8,0,16,7,14,0,0,0,242,3,0,18,73
iter92_cv_split3,0.7272727272727273,0.6931818181818182,0.9514285714285714,0.7,0,4,0,0,57,4,0,16,7,13,1,0,0,243,2,0,14,77
iter92_cv_split4,0.7011494252873564,0.7011494252873564,0.9487179487179487,0.698005698005698,0,3,0,0,57,4,0,19,4,14,1,0,0,242,3,0,14,77
iter92_cv_split5,0.7325581395348837,0.7093023255813954,0.9460227272727273,0.6960227272727273,0,3,0,0,60,1,0,19,3,14,1,0,0,243,2,0,16,76
iter93_cv_split1,0.7640449438202247,0.6966292134831461,0.9455587392550143,0.6991404011461319,0,3,1,0,60,2,0,15,8,13,1,0,0,240,4,0,14,77
iter93_cv_split2,0.7045454545454546,0.6931818181818182,0.9514285714285714,0.7,0,4,0,0,59,2,0,20,3,13,1,0,0,244,1,0,15,76
iter93_cv_split3,0.6590909090909091,0.6931818181818182,0.9428571428571428,0.7,0,4,0,0,54,7,0,19,4,13,1,0,0,244,1,0,18,73
iter93_cv_split4,0.735632183908046,0.7011494252873564,0.9458689458689459,0.698005698005698,0,2,1,0,57,4,0,16,7,15,0,0,0,243,2,0,17,74
iter93_cv_split5,0.7441860465116279,0.7093023255813954,0.9573863636363636,0.6960227272727273,0,3,0,0,57,4,0,15,7,14,1,0,0,242,3,0,11,81
iter94_cv_split1,0.7415730337078652,0.6966292134831461,0.9455587392550143,0.6991404011461319,0,3,1,0,58,4,0,15,8,13,1,0,0,241,3,0,15,76
iter94_cv_split2,0.6931818181818182,0.6931818181818182,0.9457142857142857,0.7,0,4,0,0,54,7,0,16,7,13,1,0,0,244,1,0,17,74
iter94_cv_split3,0.7045454545454546,0.6931818181818182,0.9428571428571428,0.7,0,3,1,0,56,5,0,17,6,13,1,0,0,241,4,0,15,76
iter94_cv_split4,0.7126436781609196,0.7011494252873564,0.9572649572649573,0.698005698005698,0,3,0,0,57,4,0,18,5,15,0,0,0,245,0,0,15,76
iter94_cv_split5,0.7093023255813954,0.7093023255813954,0.9431818181818182,0.6960227272727273,0,3,0,0,58,3,0,19,3,14,1,0,0,243,2,0,17,75
iter95_cv_split1,0.6853932584269663,0.6966292134831461,0.9455587392550143,0.6991404011461319,0,4,0,0,54,8,0,16,7,13,1,0,0,243,1,0,17,74
iter95_cv_split2,0.6818181818181818,0.6931818181818182,0.9457142857142857,0.7,0,4,0,0,55,6,0,18,5,13,1,0,0,244,1,0,17,74
iter95_cv_split3,0.7954545454545454,0.6931818181818182,0.9571428571428572,0.7,0,3,1,0,61,0,0,14,9,13,1,0,0,243,2,0,12,79
iter95_cv_split4,0.7011494252873564,0.7011494252873564,0.9487179487179487,0.698005698005698,0,2,1,0,59,2,0,21,2,14,1,0,0,242,3,0,14,77
iter95_cv_split5,0.7441860465116279,0.7093023255813954,0.9403409090909091,0.6960227272727273,0,3,0,0,59,2,0,17,5,15,0,0,0,242,3,0,18,74
iter96_cv_split1,0.7191011235955056,0.6966292134831461,0.9512893982808023,0.6991404011461319,0,3,1,0,56,6,0,15,8,13,1,0,0,242,2,0,14,77
iter96_cv_split2,0.7159090909090909,0.6931818181818182,0.9428571428571428,0.7,0,4,0,0,57,4,0,17,6,13,1,0,0,243,2,0,17,74
iter96_cv_split3,0.7159090909090909,0.6931818181818182,0.9485714285714286,0.7,0,4,0,0,57,4,0,17,6,13,1,0,0,244,1,0,16,75
iter96_cv_split4,0.735632183908046,0.7011494252873564,0.9515669515669516,0.698005698005698,0,3,0,0,58,3,0,17,6,14,1,0,0,242,3,0,13,78
iter96_cv_split5,0.6627906976744186,0.7093023255813954,0.9517045454545454,0.6960227272727273,0,2,1,0,54,7,0,19,3,15,0,0,0,245,0,0,17,75
iter97_cv_split1,0.7191011235955056,0.6966292134831461,0.9369627507163324,0.6991404011461319,0,4,0,0,59,3,0,18,5,14,0,0,0,242,2,0,20,71
iter97_cv_split2,0.6931818181818182,0.6931818181818182,0.9514285714285714,0.7,0,2,2,0,57,4,0,19,4,13,1,0,0,245,0,0,16,75
iter97_cv_split3,0.7727272727272727,0.6931818181818182,0.9485714285714286,0.7,0,4,0,0,61,0,0,16,7,13,1,0,0,242,3,0,14,77
iter97_cv_split4,0.7471264367816092,0.7011494252873564,0.9487179487179487,0.698005698005698,0,3,0,0,56,5,0,14,9,14,1,0,0,243,2,0,15,76
iter97_cv_split5,0.6976744186046512,0.7093023255813954,0.9431818181818182,0.6960227272727273,0,3,0,0,55,6,0,17,5,14,1,0,0,243,2,0,17,75
iter98_cv_split1,0.6966292134831461,0.6966292134831461,0.9512893982808023,0.6991404011461319,0,4,0,0,58,4,0,19,4,14,0,0,0,243,1,0,16,75
iter98_cv_split2,0.7159090909090909,0.6931818181818182,0.9514285714285714,0.7,0,2,2,0,59,2,0,19,4,13,1,0,0,242,3,0,13,78
iter98_cv_split3,0.7159090909090909,0.6931818181818182,0.9371428571428572,0.7,0,4,0,0,55,6,0,15,8,13,1,0,0,243,2,0,19,72
iter98_cv_split4,0.7471264367816092,0.7011494252873564,0.9544159544159544,0.698005698005698,0,3,0,0,61,0,0,19,4,14,1,0,0,243,2,0,13,78
iter98_cv_split5,0.7093023255813954,0.7093023255813954,0.9431818181818182,0.6960227272727273,0,3,0,0,56,5,0,17,5,14,1,0,0,243,2,0,17,75
iter99_cv_split1,0.6966292134831461,0.6966292134831461,0.9426934097421203,0.6991404011461319,0,4,0,0,59,3,0,20,3,14,0,0,0,243,1,0,19,72
iter99_cv_split2,0.75,0.6931818181818182,0.9542857142857143,0.7,0,3,1,0,59,2,0,16,7,13,1,0,0,243,2,0,13,78
iter99_cv_split3,0.7386363636363636,0.6931818181818182,0.94,0.7,0,2,2,0,55,6,0,13,10,13,1,0,0,241,4,0,16,75
iter99_cv_split4,0.735632183908046,0.7011494252873564,0.9487179487179487,0.698005698005698,0,3,0,0,60,1,0,19,4,14,1,0,0,242,3,0,14,77
iter99_cv_split5,0.7209302325581395,0.7093023255813954,0.9488636363636364,0.6960227272727273,0,3,0,0,57,4,0,17,5,14,1,0,0,244,1,0,16,76
iter100_cv_split1,0.7078651685393258,0.6966292134831461,0.9426934097421203,0.6991404011461319,0,4,0,0,59,3,0,19,4,13,1,0,0,241,3,0,16,75
iter100_cv_split2,0.7613636363636364,0.6931818181818182,0.96,0.7,0,3,1,0,57,4,0,13,10,13,1,0,0,243,2,0,11,80
iter100_cv_split3,0.7613636363636364,0.6931818181818182,0.9514285714285714,0.7,0,4,0,0,59,2,0,15,8,14,0,0,0,244,1,0,16,75
iter100_cv_split4,0.7471264367816092,0.7011494252873564,0.9430199430199431,0.698005698005698,0,3,0,0,59,2,0,17,6,14,1,0,0,243,2,0,17,74
iter100_cv_split5,0.6744186046511628,0.7093023255813954,0.9403409090909091,0.6960227272727273,0,3,0,0,56,5,0,20,2,14,1,0,0,243,2,0,18,74
