,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter75_cv_split1,0.6829268292682927,0.6585365853658537,1.0,0.6666666666666666,1,2,1,1,26,0,1,8,1,13,0,0,0,104,0,0,0,39
iter75_cv_split2,0.6,0.65,0.9872611464968153,0.6687898089171974,1,3,0,1,18,7,0,5,5,13,0,0,1,103,1,0,0,39
iter75_cv_split3,0.6666666666666666,0.6666666666666666,1.0,0.6645569620253164,0,3,0,2,20,4,0,4,6,14,0,0,0,105,0,0,0,39
iter75_cv_split4,0.7692307692307693,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,1,1,1,25,0,0,6,4,14,0,0,1,104,0,0,0,39
iter75_cv_split5,0.6842105263157895,0.6842105263157895,0.9874213836477987,0.660377358490566,2,0,1,1,20,5,1,4,4,14,0,0,1,103,1,0,0,40
iter76_cv_split1,0.5853658536585366,0.6585365853658537,1.0,0.6666666666666666,0,4,0,0,22,5,0,8,2,13,0,0,0,104,0,0,0,39
iter76_cv_split2,0.7,0.65,0.9872611464968153,0.6687898089171974,1,3,0,1,24,1,1,6,3,13,0,0,1,103,1,0,0,39
iter76_cv_split3,0.6153846153846154,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,1,1,3,18,5,1,4,5,14,0,0,0,104,1,0,0,39
iter76_cv_split4,0.7692307692307693,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,1,1,0,25,1,0,6,4,14,0,0,1,104,0,0,0,39
iter76_cv_split5,0.7105263157894737,0.6842105263157895,0.9937106918238994,0.660377358490566,1,2,0,1,22,3,0,5,4,14,0,0,1,104,0,0,0,40
iter77_cv_split1,0.5853658536585366,0.6585365853658537,0.9935897435897436,0.6666666666666666,1,2,1,2,21,4,0,8,2,13,0,0,1,103,0,0,0,39
iter77_cv_split2,0.675,0.65,0.9936305732484076,0.6687898089171974,2,1,1,0,20,6,1,4,5,13,0,0,1,104,0,0,0,39
iter77_cv_split3,0.717948717948718,0.6666666666666666,0.9873417721518988,0.6645569620253164,0,3,0,1,23,2,0,5,5,14,0,0,1,103,1,0,0,39
iter77_cv_split4,0.6923076923076923,0.6666666666666666,0.9936708860759493,0.6645569620253164,2,1,0,0,22,4,0,7,3,14,0,0,1,104,0,0,0,39
iter77_cv_split5,0.5,0.6842105263157895,0.9937106918238994,0.660377358490566,0,2,1,0,17,9,0,7,2,14,0,0,0,104,1,0,0,40
iter78_cv_split1,0.5853658536585366,0.6585365853658537,0.9935897435897436,0.6666666666666666,1,3,0,2,21,4,0,8,2,13,0,0,1,103,0,0,0,39
iter78_cv_split2,0.7,0.65,0.9936305732484076,0.6687898089171974,0,2,2,0,24,2,0,6,4,13,0,0,1,104,0,0,0,39
iter78_cv_split3,0.7948717948717948,0.6666666666666666,1.0,0.6645569620253164,0,3,0,0,24,2,0,3,7,14,0,0,0,105,0,0,0,39
iter78_cv_split4,0.6153846153846154,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,2,0,0,20,6,1,6,3,14,0,0,1,104,0,0,0,39
iter78_cv_split5,0.6842105263157895,0.6842105263157895,0.9937106918238994,0.660377358490566,3,0,0,2,20,4,0,6,3,14,0,0,0,104,1,0,0,40
iter79_cv_split1,0.7073170731707317,0.6585365853658537,1.0,0.6666666666666666,1,3,0,2,23,2,0,5,5,13,0,0,0,104,0,0,0,39
iter79_cv_split2,0.625,0.65,0.9872611464968153,0.6687898089171974,0,2,2,1,23,2,1,7,2,13,0,0,1,103,1,0,0,39
iter79_cv_split3,0.6410256410256411,0.6666666666666666,0.9936708860759493,0.6645569620253164,2,1,0,0,18,8,0,5,5,14,0,0,1,104,0,0,0,39
iter79_cv_split4,0.6666666666666666,0.6666666666666666,1.0,0.6645569620253164,1,1,1,1,23,2,0,8,2,14,0,0,0,105,0,0,0,39
iter79_cv_split5,0.7105263157894737,0.6842105263157895,0.9937106918238994,0.660377358490566,1,2,0,1,23,2,0,6,3,14,0,0,1,104,0,0,0,40
iter80_cv_split1,0.6097560975609756,0.6585365853658537,1.0,0.6666666666666666,2,2,0,2,21,4,1,7,2,13,0,0,0,104,0,0,0,39
iter80_cv_split2,0.65,0.65,0.9872611464968153,0.6687898089171974,0,4,0,1,21,4,0,5,5,13,0,0,1,103,1,0,0,39
iter80_cv_split3,0.7435897435897436,0.6666666666666666,0.9936708860759493,0.6645569620253164,0,3,0,0,24,2,0,5,5,14,0,0,1,104,0,0,0,39
iter80_cv_split4,0.6410256410256411,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,1,1,0,22,4,0,8,2,14,0,0,0,104,1,0,0,39
iter80_cv_split5,0.631578947368421,0.6842105263157895,0.9937106918238994,0.660377358490566,1,1,1,1,20,5,1,5,3,14,0,0,1,104,0,0,0,40
iter81_cv_split1,0.5609756097560976,0.6585365853658537,1.0,0.6666666666666666,0,3,1,0,21,6,0,8,2,13,0,0,0,104,0,0,0,39
iter81_cv_split2,0.7,0.65,0.9936305732484076,0.6687898089171974,1,2,1,0,22,4,1,4,5,13,0,0,1,104,0,0,0,39
iter81_cv_split3,0.6153846153846154,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,2,0,2,19,5,0,6,4,14,0,0,0,104,1,0,0,39
iter81_cv_split4,0.717948717948718,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,2,0,1,24,1,0,7,3,14,0,0,1,104,0,0,0,39
iter81_cv_split5,0.7105263157894737,0.6842105263157895,0.9937106918238994,0.660377358490566,1,1,1,1,21,4,0,4,5,14,0,0,1,104,0,0,0,40
iter82_cv_split1,0.5609756097560976,0.6585365853658537,1.0,0.6666666666666666,2,1,1,2,18,7,1,6,3,13,0,0,0,104,0,0,0,39
iter82_cv_split2,0.65,0.65,0.9872611464968153,0.6687898089171974,2,2,0,1,19,6,0,5,5,13,0,0,1,103,1,0,0,39
iter82_cv_split3,0.6666666666666666,0.6666666666666666,0.9873417721518988,0.6645569620253164,0,3,0,1,21,4,0,5,5,14,0,0,1,103,1,0,0,39
iter82_cv_split4,0.6923076923076923,0.6666666666666666,1.0,0.6645569620253164,1,2,0,0,22,4,0,6,4,14,0,0,0,105,0,0,0,39
iter82_cv_split5,0.7368421052631579,0.6842105263157895,0.9937106918238994,0.660377358490566,1,1,1,0,23,3,0,5,4,14,0,0,1,104,0,0,0,40
iter83_cv_split1,0.7804878048780488,0.6585365853658537,0.9935897435897436,0.6666666666666666,2,1,1,1,23,3,0,3,7,13,0,0,1,103,0,0,0,39
iter83_cv_split2,0.525,0.65,1.0,0.6687898089171974,0,4,0,1,18,7,0,7,3,13,0,0,0,105,0,0,0,39
iter83_cv_split3,0.6410256410256411,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,1,1,3,19,4,1,4,5,14,0,0,1,104,0,0,0,39
iter83_cv_split4,0.6923076923076923,0.6666666666666666,0.9873417721518988,0.6645569620253164,2,1,0,1,23,2,0,8,2,14,0,0,1,103,1,0,0,39
iter83_cv_split5,0.8421052631578947,0.6842105263157895,1.0,0.660377358490566,1,2,0,0,24,2,0,2,7,14,0,0,0,105,0,0,0,40
iter84_cv_split1,0.6829268292682927,0.6585365853658537,0.9935897435897436,0.6666666666666666,1,3,0,0,22,5,0,5,5,13,0,0,0,103,1,0,0,39
iter84_cv_split2,0.575,0.65,0.9936305732484076,0.6687898089171974,0,4,0,2,18,6,0,5,5,13,0,0,0,104,1,0,0,39
iter84_cv_split3,0.717948717948718,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,1,1,2,22,2,0,5,5,14,0,0,1,104,0,0,0,39
iter84_cv_split4,0.6666666666666666,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,1,1,1,22,3,2,5,3,14,0,0,1,104,0,0,0,39
iter84_cv_split5,0.6578947368421053,0.6842105263157895,0.9937106918238994,0.660377358490566,1,2,0,0,22,4,0,7,2,14,0,0,1,104,0,0,0,40
iter85_cv_split1,0.6097560975609756,0.6585365853658537,0.9935897435897436,0.6666666666666666,1,1,2,0,19,8,0,5,5,13,0,0,1,103,0,0,0,39
iter85_cv_split2,0.525,0.65,0.9936305732484076,0.6687898089171974,0,3,1,2,20,4,1,8,1,13,0,0,0,104,1,0,0,39
iter85_cv_split3,0.6410256410256411,0.6666666666666666,0.9936708860759493,0.6645569620253164,0,3,0,1,21,4,2,4,4,14,0,0,1,104,0,0,0,39
iter85_cv_split4,0.6923076923076923,0.6666666666666666,1.0,0.6645569620253164,1,1,1,0,22,4,0,6,4,14,0,0,0,105,0,0,0,39
iter85_cv_split5,0.631578947368421,0.6842105263157895,0.9937106918238994,0.660377358490566,2,1,0,1,20,5,0,7,2,14,0,0,1,104,0,0,0,40
iter86_cv_split1,0.7073170731707317,0.6585365853658537,0.9871794871794872,0.6666666666666666,1,2,1,1,24,2,1,5,4,13,0,0,1,102,1,0,0,39
iter86_cv_split2,0.625,0.65,1.0,0.6687898089171974,0,4,0,1,21,4,0,6,4,13,0,0,0,105,0,0,0,39
iter86_cv_split3,0.5897435897435898,0.6666666666666666,0.9936708860759493,0.6645569620253164,0,3,0,1,20,5,1,6,3,14,0,0,1,104,0,0,0,39
iter86_cv_split4,0.6666666666666666,0.6666666666666666,1.0,0.6645569620253164,1,1,1,1,21,4,0,6,4,14,0,0,0,105,0,0,0,39
iter86_cv_split5,0.7105263157894737,0.6842105263157895,0.9937106918238994,0.660377358490566,1,2,0,1,22,3,0,5,4,14,0,0,1,104,0,0,0,40
iter87_cv_split1,0.6829268292682927,0.6585365853658537,0.9935897435897436,0.6666666666666666,2,1,1,1,20,6,0,4,6,13,0,0,1,103,0,0,0,39
iter87_cv_split2,0.65,0.65,0.9936305732484076,0.6687898089171974,2,1,1,2,21,3,0,7,3,13,0,0,0,104,1,0,0,39
iter87_cv_split3,0.717948717948718,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,2,0,1,23,2,0,6,4,14,0,0,0,104,1,0,0,39
iter87_cv_split4,0.6923076923076923,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,1,1,0,21,5,1,4,5,14,0,0,1,104,0,0,0,39
iter87_cv_split5,0.6052631578947368,0.6842105263157895,0.9937106918238994,0.660377358490566,0,2,1,1,20,5,0,6,3,14,0,0,1,104,0,0,0,40
iter88_cv_split1,0.7560975609756098,0.6585365853658537,0.9935897435897436,0.6666666666666666,2,2,0,1,25,1,0,6,4,13,0,0,1,103,0,0,0,39
iter88_cv_split2,0.6,0.65,0.9936305732484076,0.6687898089171974,0,3,1,1,20,5,0,6,4,13,0,0,1,104,0,0,0,39
iter88_cv_split3,0.6666666666666666,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,2,0,1,23,2,2,6,2,14,0,0,1,104,0,0,0,39
iter88_cv_split4,0.6410256410256411,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,2,0,2,21,3,0,7,3,14,0,0,0,104,1,0,0,39
iter88_cv_split5,0.6578947368421053,0.6842105263157895,1.0,0.660377358490566,0,2,1,0,22,4,0,6,3,14,0,0,0,105,0,0,0,40
iter89_cv_split1,0.6341463414634146,0.6585365853658537,0.9935897435897436,0.6666666666666666,1,3,0,0,23,4,0,8,2,13,0,0,1,103,0,0,0,39
iter89_cv_split2,0.6,0.65,0.9872611464968153,0.6687898089171974,0,4,0,0,20,6,0,6,4,13,0,0,1,103,1,0,0,39
iter89_cv_split3,0.5897435897435898,0.6666666666666666,1.0,0.6645569620253164,1,1,1,3,20,3,0,8,2,14,0,0,0,105,0,0,0,39
iter89_cv_split4,0.6923076923076923,0.6666666666666666,1.0,0.6645569620253164,1,2,0,1,23,2,1,6,3,14,0,0,0,105,0,0,0,39
iter89_cv_split5,0.6842105263157895,0.6842105263157895,0.9874213836477987,0.660377358490566,1,2,0,1,22,3,1,5,3,14,0,0,1,103,1,0,0,40
iter90_cv_split1,0.6585365853658537,0.6585365853658537,1.0,0.6666666666666666,1,1,2,0,21,6,0,5,5,13,0,0,0,104,0,0,0,39
iter90_cv_split2,0.575,0.65,0.9936305732484076,0.6687898089171974,0,4,0,2,22,2,0,9,1,13,0,0,1,104,0,0,0,39
iter90_cv_split3,0.5384615384615384,0.6666666666666666,0.9873417721518988,0.6645569620253164,1,2,0,2,18,6,1,7,2,14,0,0,1,103,1,0,0,39
iter90_cv_split4,0.7435897435897436,0.6666666666666666,0.9936708860759493,0.6645569620253164,2,0,1,0,23,3,0,6,4,14,0,0,1,104,0,0,0,39
iter90_cv_split5,0.631578947368421,0.6842105263157895,0.9937106918238994,0.660377358490566,1,2,0,0,21,5,0,7,2,14,0,0,1,104,0,0,0,40
iter91_cv_split1,0.7073170731707317,0.6585365853658537,0.9871794871794872,0.6666666666666666,1,3,0,0,22,5,1,3,6,13,0,0,1,102,1,0,0,39
iter91_cv_split2,0.6,0.65,0.9936305732484076,0.6687898089171974,2,0,2,1,19,6,0,7,3,13,0,0,1,104,0,0,0,39
iter91_cv_split3,0.6410256410256411,0.6666666666666666,1.0,0.6645569620253164,1,2,0,3,19,4,0,5,5,14,0,0,0,105,0,0,0,39
iter91_cv_split4,0.6410256410256411,0.6666666666666666,0.9936708860759493,0.6645569620253164,0,3,0,1,23,2,0,8,2,14,0,0,1,104,0,0,0,39
iter91_cv_split5,0.6578947368421053,0.6842105263157895,1.0,0.660377358490566,0,3,0,1,22,3,0,6,3,14,0,0,0,105,0,0,0,40
iter92_cv_split1,0.6097560975609756,0.6585365853658537,0.9935897435897436,0.6666666666666666,0,3,1,0,24,3,0,9,1,13,0,0,1,103,0,0,0,39
iter92_cv_split2,0.575,0.65,1.0,0.6687898089171974,0,4,0,0,20,6,0,7,3,13,0,0,0,105,0,0,0,39
iter92_cv_split3,0.6666666666666666,0.6666666666666666,1.0,0.6645569620253164,1,2,0,1,20,5,0,5,5,14,0,0,0,105,0,0,0,39
iter92_cv_split4,0.717948717948718,0.6666666666666666,0.9873417721518988,0.6645569620253164,2,0,1,2,20,4,1,3,6,14,0,0,1,103,1,0,0,39
iter92_cv_split5,0.631578947368421,0.6842105263157895,0.9937106918238994,0.660377358490566,2,1,0,1,20,5,0,7,2,14,0,0,1,104,0,0,0,40
iter93_cv_split1,0.6829268292682927,0.6585365853658537,0.9935897435897436,0.6666666666666666,1,2,1,0,25,2,1,7,2,13,0,0,0,103,1,0,0,39
iter93_cv_split2,0.65,0.65,0.9936305732484076,0.6687898089171974,1,1,2,1,23,2,0,8,2,13,0,0,1,104,0,0,0,39
iter93_cv_split3,0.6153846153846154,0.6666666666666666,0.9936708860759493,0.6645569620253164,0,3,0,1,21,4,0,7,3,14,0,0,1,104,0,0,0,39
iter93_cv_split4,0.5384615384615384,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,2,0,1,17,8,1,6,3,14,0,0,1,104,0,0,0,39
iter93_cv_split5,0.631578947368421,0.6842105263157895,1.0,0.660377358490566,3,0,0,3,18,5,0,6,3,14,0,0,0,105,0,0,0,40
iter94_cv_split1,0.7073170731707317,0.6585365853658537,0.9935897435897436,0.6666666666666666,1,3,0,0,26,1,0,8,2,13,0,0,0,103,1,0,0,39
iter94_cv_split2,0.575,0.65,0.9936305732484076,0.6687898089171974,0,2,2,3,18,5,0,5,5,13,0,0,1,104,0,0,0,39
iter94_cv_split3,0.6153846153846154,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,2,0,1,17,8,0,4,6,14,0,0,1,104,0,0,0,39
iter94_cv_split4,0.717948717948718,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,2,0,0,23,3,0,6,4,14,0,0,1,104,0,0,0,39
iter94_cv_split5,0.6842105263157895,0.6842105263157895,1.0,0.660377358490566,1,1,1,1,24,1,1,7,1,14,0,0,0,105,0,0,0,40
iter95_cv_split1,0.5365853658536586,0.6585365853658537,0.9935897435897436,0.6666666666666666,0,3,1,1,19,7,1,6,3,13,0,0,1,103,0,0,0,39
iter95_cv_split2,0.7,0.65,0.9936305732484076,0.6687898089171974,1,2,1,1,24,1,0,7,3,13,0,0,1,104,0,0,0,39
iter95_cv_split3,0.6666666666666666,0.6666666666666666,1.0,0.6645569620253164,1,2,0,0,22,4,0,7,3,14,0,0,0,105,0,0,0,39
iter95_cv_split4,0.6923076923076923,0.6666666666666666,1.0,0.6645569620253164,2,0,1,1,22,3,0,7,3,14,0,0,0,105,0,0,0,39
iter95_cv_split5,0.631578947368421,0.6842105263157895,0.9937106918238994,0.660377358490566,0,3,0,0,21,5,0,6,3,14,0,0,1,104,0,0,0,40
iter96_cv_split1,0.7317073170731707,0.6585365853658537,0.9935897435897436,0.6666666666666666,2,2,0,2,23,2,0,5,5,13,0,0,0,103,1,0,0,39
iter96_cv_split2,0.7,0.65,1.0,0.6687898089171974,1,3,0,0,23,3,0,6,4,13,0,0,0,105,0,0,0,39
iter96_cv_split3,0.6666666666666666,0.6666666666666666,0.9936708860759493,0.6645569620253164,0,0,3,1,23,2,0,7,3,14,0,0,1,104,0,0,0,39
iter96_cv_split4,0.6153846153846154,0.6666666666666666,0.9936708860759493,0.6645569620253164,0,3,0,1,21,4,0,7,3,14,0,0,1,104,0,0,0,39
iter96_cv_split5,0.6578947368421053,0.6842105263157895,0.9874213836477987,0.660377358490566,1,1,1,0,20,6,0,5,4,14,0,0,1,103,1,0,0,40
iter97_cv_split1,0.7073170731707317,0.6585365853658537,1.0,0.6666666666666666,1,2,1,0,23,4,0,5,5,13,0,0,0,104,0,0,0,39
iter97_cv_split2,0.7,0.65,0.9936305732484076,0.6687898089171974,0,4,0,1,23,2,0,5,5,13,0,0,1,104,0,0,0,39
iter97_cv_split3,0.5641025641025641,0.6666666666666666,0.9936708860759493,0.6645569620253164,2,1,0,2,17,7,0,7,3,14,0,0,0,104,1,0,0,39
iter97_cv_split4,0.6153846153846154,0.6666666666666666,0.9873417721518988,0.6645569620253164,1,2,0,1,19,6,1,5,4,14,0,0,1,103,1,0,0,39
iter97_cv_split5,0.6578947368421053,0.6842105263157895,0.9937106918238994,0.660377358490566,1,2,0,0,19,7,0,4,5,14,0,0,1,104,0,0,0,40
iter98_cv_split1,0.5365853658536586,0.6585365853658537,0.9935897435897436,0.6666666666666666,0,2,2,0,20,7,1,7,2,13,0,0,1,103,0,0,0,39
iter98_cv_split2,0.75,0.65,0.9936305732484076,0.6687898089171974,2,1,1,2,21,3,0,3,7,13,0,0,1,104,0,0,0,39
iter98_cv_split3,0.6410256410256411,0.6666666666666666,0.9936708860759493,0.6645569620253164,0,2,1,0,21,5,0,6,4,14,0,0,1,104,0,0,0,39
iter98_cv_split4,0.6666666666666666,0.6666666666666666,1.0,0.6645569620253164,1,2,0,2,22,2,1,6,3,14,0,0,0,105,0,0,0,39
iter98_cv_split5,0.631578947368421,0.6842105263157895,1.0,0.660377358490566,0,3,0,0,21,5,0,6,3,14,0,0,0,105,0,0,0,40
iter99_cv_split1,0.5365853658536586,0.6585365853658537,0.9935897435897436,0.6666666666666666,0,3,1,1,19,7,0,7,3,13,0,0,1,103,0,0,0,39
iter99_cv_split2,0.675,0.65,1.0,0.6687898089171974,1,2,1,2,22,2,2,4,4,13,0,0,0,105,0,0,0,39
iter99_cv_split3,0.7435897435897436,0.6666666666666666,0.9936708860759493,0.6645569620253164,1,1,1,1,22,3,0,4,6,14,0,0,1,104,0,0,0,39
iter99_cv_split4,0.6153846153846154,0.6666666666666666,0.9936708860759493,0.6645569620253164,0,3,0,0,21,5,0,7,3,14,0,0,0,104,1,0,0,39
iter99_cv_split5,0.7105263157894737,0.6842105263157895,0.9874213836477987,0.660377358490566,2,1,0,0,21,5,0,5,4,14,0,0,1,103,1,0,0,40
iter100_cv_split1,0.6341463414634146,0.6585365853658537,0.9935897435897436,0.6666666666666666,0,4,0,3,22,2,0,6,4,13,0,0,1,103,0,0,0,39
iter100_cv_split2,0.625,0.65,0.9936305732484076,0.6687898089171974,2,2,0,0,19,7,0,6,4,13,0,0,1,104,0,0,0,39
iter100_cv_split3,0.6410256410256411,0.6666666666666666,1.0,0.6645569620253164,1,1,1,2,21,3,1,6,3,14,0,0,0,105,0,0,0,39
iter100_cv_split4,0.6666666666666666,0.6666666666666666,0.9873417721518988,0.6645569620253164,0,2,1,0,23,3,0,7,3,14,0,0,1,103,1,0,0,39
iter100_cv_split5,0.631578947368421,0.6842105263157895,1.0,0.660377358490566,0,3,0,0,20,6,0,5,4,14,0,0,0,105,0,0,0,40
