,full_test_accs,full_test_aucs,full_test_fns,full_test_fps,full_test_null_accs,full_test_tns,full_test_tps,full_train_accs,full_train_aucs,full_train_fns,full_train_fps,full_train_null_accs,full_train_tns,full_train_tps
iter89_cv_split3,0.9615384615384616,0.9615384615384616,2,0,0.5,26,24,1.0,1.0,0,0,0.5,105,105
iter89_cv_split4,0.9615384615384616,0.9615384615384616,2,0,0.5,26,24,1.0,1.0,0,0,0.5,105,105
iter89_cv_split5,0.9615384615384616,0.9615384615384616,2,0,0.5,26,24,1.0,1.0,0,0,0.5,105,105
iter90_cv_split1,0.9814814814814815,0.9814814814814814,1,0,0.5,27,26,1.0,1.0,0,0,0.5,104,104
iter90_cv_split2,0.9230769230769231,0.9230769230769231,4,0,0.5,26,22,1.0,1.0,0,0,0.5,105,105
iter90_cv_split3,0.9807692307692307,0.9807692307692308,1,0,0.5,26,25,1.0,1.0,0,0,0.5,105,105
iter90_cv_split4,0.9615384615384616,0.9615384615384616,2,0,0.5,26,24,1.0,1.0,0,0,0.5,105,105
iter90_cv_split5,0.9423076923076923,0.9423076923076923,3,0,0.5,26,23,1.0,1.0,0,0,0.5,105,105
iter91_cv_split1,0.9444444444444444,0.9444444444444444,3,0,0.5,27,24,1.0,1.0,0,0,0.5,104,104
iter91_cv_split2,0.9807692307692307,0.9807692307692308,1,0,0.5,26,25,1.0,1.0,0,0,0.5,105,105
iter91_cv_split3,0.9423076923076923,0.9423076923076923,3,0,0.5,26,23,1.0,1.0,0,0,0.5,105,105
iter91_cv_split4,0.9038461538461539,0.9038461538461539,2,3,0.5,23,24,1.0,1.0,0,0,0.5,105,105
iter91_cv_split5,0.9423076923076923,0.9423076923076923,3,0,0.5,26,23,1.0,1.0,0,0,0.5,105,105
iter92_cv_split1,0.9259259259259259,0.9259259259259259,4,0,0.5,27,23,1.0,1.0,0,0,0.5,104,104
iter92_cv_split2,0.9807692307692307,0.9807692307692308,1,0,0.5,26,25,1.0,1.0,0,0,0.5,105,105
iter92_cv_split3,0.9615384615384616,0.9615384615384616,2,0,0.5,26,24,1.0,1.0,0,0,0.5,105,105
iter92_cv_split4,0.9230769230769231,0.9230769230769231,4,0,0.5,26,22,1.0,1.0,0,0,0.5,105,105
iter92_cv_split5,1.0,1.0,0,0,0.5,26,26,1.0,1.0,0,0,0.5,105,105
iter93_cv_split1,0.9814814814814815,0.9814814814814814,1,0,0.5,27,26,1.0,1.0,0,0,0.5,104,104
iter93_cv_split2,0.9807692307692307,0.9807692307692308,1,0,0.5,26,25,1.0,1.0,0,0,0.5,105,105
iter93_cv_split3,0.9230769230769231,0.9230769230769231,4,0,0.5,26,22,1.0,1.0,0,0,0.5,105,105
iter93_cv_split4,0.9615384615384616,0.9615384615384616,2,0,0.5,26,24,1.0,1.0,0,0,0.5,105,105
iter93_cv_split5,0.9038461538461539,0.9038461538461539,3,2,0.5,24,23,1.0,1.0,0,0,0.5,105,105
iter94_cv_split1,0.9259259259259259,0.9259259259259259,4,0,0.5,27,23,1.0,1.0,0,0,0.5,104,104
iter94_cv_split2,0.9230769230769231,0.9230769230769231,4,0,0.5,26,22,1.0,1.0,0,0,0.5,105,105
iter94_cv_split3,0.9807692307692307,0.9807692307692308,1,0,0.5,26,25,1.0,1.0,0,0,0.5,105,105
iter94_cv_split4,0.9807692307692307,0.9807692307692308,1,0,0.5,26,25,1.0,1.0,0,0,0.5,105,105
iter94_cv_split5,0.9423076923076923,0.9423076923076923,3,0,0.5,26,23,1.0,1.0,0,0,0.5,105,105
iter95_cv_split1,0.9814814814814815,0.9814814814814814,1,0,0.5,27,26,1.0,1.0,0,0,0.5,104,104
iter95_cv_split2,0.9615384615384616,0.9615384615384616,2,0,0.5,26,24,1.0,1.0,0,0,0.5,105,105
iter95_cv_split3,0.9230769230769231,0.9230769230769231,4,0,0.5,26,22,1.0,1.0,0,0,0.5,105,105
iter95_cv_split4,0.9615384615384616,0.9615384615384616,2,0,0.5,26,24,1.0,1.0,0,0,0.5,105,105
iter95_cv_split5,0.9230769230769231,0.9230769230769231,4,0,0.5,26,22,1.0,1.0,0,0,0.5,105,105
iter96_cv_split1,0.9629629629629629,0.962962962962963,2,0,0.5,27,25,1.0,1.0,0,0,0.5,104,104
iter96_cv_split2,0.9423076923076923,0.9423076923076923,3,0,0.5,26,23,1.0,1.0,0,0,0.5,105,105
iter96_cv_split3,0.9230769230769231,0.9230769230769231,4,0,0.5,26,22,1.0,1.0,0,0,0.5,105,105
iter96_cv_split4,0.9230769230769231,0.9230769230769231,4,0,0.5,26,22,1.0,1.0,0,0,0.5,105,105
iter96_cv_split5,0.9423076923076923,0.9423076923076923,3,0,0.5,26,23,1.0,1.0,0,0,0.5,105,105
iter97_cv_split1,0.9444444444444444,0.9444444444444444,3,0,0.5,27,24,1.0,1.0,0,0,0.5,104,104
iter97_cv_split2,0.9807692307692307,0.9807692307692308,1,0,0.5,26,25,1.0,1.0,0,0,0.5,105,105
iter97_cv_split3,0.9807692307692307,0.9807692307692308,1,0,0.5,26,25,1.0,1.0,0,0,0.5,105,105
iter97_cv_split4,0.9807692307692307,0.9807692307692308,1,0,0.5,26,25,1.0,1.0,0,0,0.5,105,105
iter97_cv_split5,0.9230769230769231,0.9230769230769231,4,0,0.5,26,22,1.0,1.0,0,0,0.5,105,105
iter98_cv_split1,0.9444444444444444,0.9444444444444444,3,0,0.5,27,24,1.0,1.0,0,0,0.5,104,104
iter98_cv_split2,0.9807692307692307,0.9807692307692308,1,0,0.5,26,25,1.0,1.0,0,0,0.5,105,105
iter98_cv_split3,0.9423076923076923,0.9423076923076923,3,0,0.5,26,23,1.0,1.0,0,0,0.5,105,105
iter98_cv_split4,0.9807692307692307,0.9807692307692308,1,0,0.5,26,25,1.0,1.0,0,0,0.5,105,105
iter98_cv_split5,0.9615384615384616,0.9615384615384616,2,0,0.5,26,24,1.0,1.0,0,0,0.5,105,105
iter99_cv_split1,0.9259259259259259,0.9259259259259259,4,0,0.5,27,23,1.0,1.0,0,0,0.5,104,104
iter99_cv_split2,0.9615384615384616,0.9615384615384616,2,0,0.5,26,24,1.0,1.0,0,0,0.5,105,105
iter99_cv_split3,0.9423076923076923,0.9423076923076923,3,0,0.5,26,23,1.0,1.0,0,0,0.5,105,105
iter99_cv_split4,0.9615384615384616,0.9615384615384616,2,0,0.5,26,24,1.0,1.0,0,0,0.5,105,105
iter99_cv_split5,0.9807692307692307,0.9807692307692308,1,0,0.5,26,25,1.0,1.0,0,0,0.5,105,105
iter100_cv_split1,0.9444444444444444,0.9444444444444444,3,0,0.5,27,24,1.0,1.0,0,0,0.5,104,104
iter100_cv_split2,1.0,1.0,0,0,0.5,26,26,1.0,1.0,0,0,0.5,105,105
iter100_cv_split3,0.9615384615384616,0.9615384615384616,2,0,0.5,26,24,1.0,1.0,0,0,0.5,105,105
iter100_cv_split4,0.9230769230769231,0.9230769230769231,4,0,0.5,26,22,1.0,1.0,0,0,0.5,105,105
iter100_cv_split5,0.9423076923076923,0.9423076923076923,3,0,0.5,26,23,1.0,1.0,0,0,0.5,105,105
